,cumulative_irrigation_cm,scheme,0.0,0.9604269,1.921965,2.883504,3.845042,4.806581,5.768119,6.729658,7.691196,8.652735,9.614273,10.57581,11.53735,12.49889,13.46043,14.42197,15.38351,16.34505,17.30658,18.26812,19.22966,20.1912,21.15274,22.11428,23.07582,24.03736,24.9989
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_No_Ramp-up_Water_Content_Time_2_-_1_0_hours_Cross-Section_No_3_-_10_cm.txt,19.1,1,0.2491078,0.2367593,0.2367593,0.234365,0.234365,0.2437367,0.2407293,0.2371046,0.2111649,0.2145252,0.221949,0.2145252,0.2060002,0.1706686,0.1460929,0.1102229,0.1102229,0.09031864,0.09019227,0.090189,0.09018895,0.090189,0.09018895,0.09018896,0.09018894,0.09018893,0.09018895
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_No_Ramp-up_Water_Content_Time_3_-_2_0_hours_Cross-Section_No_3_-_10_cm.txt,38.2,1,0.2584736,0.2511314,0.2511314,0.2493411,0.2493411,0.2547038,0.2526259,0.250157,0.2356471,0.2360865,0.2403909,0.2360865,0.2318222,0.2160465,0.2098417,0.1980806,0.1980806,0.1847846,0.1733699,0.1582078,0.145153,0.1582078,0.1080558,0.09027675,0.09028228,0.09018911,0.09019251
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_No_Ramp-up_Water_Content_Time_9_-_8_0_hours_Cross-Section_No_3_-_10_cm.txt,152.79,1,0.272517,0.2691887,0.2691887,0.2682167,0.2682167,0.270364,0.2692387,0.2678928,0.2621753,0.2616371,0.2633074,0.2616371,0.2599876,0.2551994,0.2546807,0.2526162,0.2526162,0.2502019,0.249216,0.248352,0.2485521,0.248352,0.2472565,0.2462945,0.246494,0.2461148,0.2461291
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_No_Ramp-up_Water_Content_Time_44_-_88_0_hours_Cross-Section_No_3_-_10_cm.txt,1680.68,1,0.2761161,0.2736917,0.2736917,0.2728843,0.2728843,0.27428,0.2733412,0.2722272,0.2678446,0.2668985,0.2683303,0.2668985,0.2655911,0.2618305,0.2621106,0.2604641,0.2604641,0.2578672,0.2571526,0.2565647,0.2577888,0.2565647,0.2565051,0.2551216,0.256093,0.2549833,0.2549992
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_2_Water_Content_Time_2_-_1_0_hours_Cross-Section_No_3_-_10_cm.txt,19.1,2,0.2491112,0.2367636,0.2367636,0.2343688,0.2343688,0.2437401,0.240733,0.2371086,0.2111702,0.2145304,0.2219533,0.2145304,0.206006,0.1706774,0.1461034,0.1102345,0.1102345,0.09031885,0.09019227,0.090189,0.09018895,0.090189,0.09018895,0.09018896,0.09018894,0.09018893,0.09018895
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_2_Water_Content_Time_3_-_2_0_hours_Cross-Section_No_3_-_10_cm.txt,38.2,2,0.2584767,0.2511347,0.2511347,0.2493444,0.2493444,0.2547067,0.2526289,0.2501601,0.2356504,0.2360897,0.2403943,0.2360897,0.2318257,0.2160507,0.209846,0.1980857,0.1980857,0.184791,0.1733773,0.1582169,0.1451644,0.1582169,0.1080691,0.09027692,0.09028241,0.09018911,0.09019253
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_2_Water_Content_Time_10_-_48_0_hours_Cross-Section_No_3_-_10_cm.txt,152.79,2,0.1818417,0.1822714,0.1822714,0.1822456,0.1822456,0.1818369,0.1818349,0.1818363,0.1822727,0.1818326,0.1818368,0.1818326,0.1818331,0.1818358,0.1823548,0.1823272,0.1823272,0.1818356,0.181837,0.1818369,0.1825558,0.1818369,0.182274,0.1818357,0.1823447,0.1818464,0.1818362
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_2_Water_Content_Time_39_-_384_0_hours_Cross-Section_No_3_-_10_cm.txt,1680.68,2,0.2009592,0.2018223,0.2018223,0.2017692,0.2017692,0.2009545,0.2009526,0.2009542,0.2018216,0.2009505,0.2009542,0.2009505,0.2009511,0.2009535,0.201993,0.2019318,0.2019318,0.2009525,0.2009541,0.200954,0.2023935,0.200954,0.2018238,0.200953,0.2019714,0.2009631,0.2009537
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_9_-_6_000_hours_Cross-Section_No_3_-_10_cm.txt,19.1,3,0.1802136,0.1769966,0.1769966,0.17625,0.17625,0.1786262,0.1777278,0.1766444,0.170038,0.1705557,0.1725512,0.1705557,0.1682112,0.1591918,0.1543471,0.1466118,0.1466118,0.1371253,0.1288149,0.1182332,0.1085243,0.1182332,0.09441146,0.09039373,0.09037262,0.09019966,0.09022857
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_18_-_12_000_hours_Cross-Section_No_3_-_10_cm.txt,38.2,3,0.1880549,0.1862904,0.1862904,0.1857804,0.1857804,0.1870234,0.1864748,0.1858232,0.1816566,0.1817164,0.1830106,0.1817164,0.1802597,0.1748168,0.1727343,0.1687361,0.1687361,0.1646953,0.1618157,0.1584358,0.1541065,0.1584358,0.1483706,0.1444871,0.1391959,0.1422585,0.1424919
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_69_-_48_000_hours_Cross-Section_No_3_-_10_cm.txt,152.79,3,0.211271,0.211334,0.211334,0.2112171,0.2112171,0.211065,0.2109607,0.2108461,0.2105907,0.2101999,0.2103904,0.2101999,0.2100137,0.2094314,0.2096676,0.2093422,0.2093422,0.2086995,0.2085479,0.2084098,0.2087907,0.2084098,0.2084421,0.2080508,0.2083243,0.2080333,0.2080199
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_3_Water_Content_Time_371_-_384_000_hours_Cross-Section_No_3_-_10_cm.txt,1680.68,3,0.2373525,0.2382419,0.2382419,0.2381593,0.2381593,0.2372912,0.2372628,0.2372379,0.2380634,0.2370763,0.2371282,0.2370763,0.2370333,0.2368987,0.2380173,0.2378791,0.2378791,0.2367214,0.2366886,0.2366557,0.2382169,0.2366557,0.237555,0.2365693,0.2376762,0.2365838,0.2365636
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_4_Water_Content_Time_4_-_6_0_hours_Cross-Section_No_3_-_10_cm.txt,19.1,4,0.1552915,0.1536517,0.1536517,0.153238,0.153238,0.1542964,0.1538359,0.1532877,0.1498051,0.1498244,0.1509185,0.1498244,0.1485784,0.1434851,0.1417253,0.137872,0.137872,0.1332883,0.1299208,0.1255291,0.1224663,0.1255291,0.1138931,0.102033,0.1007788,0.09461254,0.09700408
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_4_Water_Content_Time_7_-_12_0_hours_Cross-Section_No_3_-_10_cm.txt,38.2,4,0.165967,0.1648932,0.1648932,0.1646499,0.1646499,0.1653585,0.1650923,0.164789,0.1627284,0.1629559,0.163509,0.1629559,0.1623656,0.1603018,0.1588983,0.1573301,0.1573301,0.1568503,0.1559105,0.1549282,0.15194,0.1549282,0.1513865,0.1524727,0.1494123,0.1523304,0.152237
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_4_Water_Content_Time_22_-_48_0_hours_Cross-Section_No_3_-_10_cm.txt,152.79,4,0.2000579,0.2004864,0.2004864,0.2004557,0.2004557,0.2000486,0.2000448,0.2000466,0.2004856,0.2000387,0.2000461,0.2000387,0.2000389,0.2000411,0.200574,0.2005439,0.2005439,0.2000377,0.2000394,0.2000388,0.2008061,0.2000388,0.2004774,0.200036,0.2005568,0.2000533,0.2000369
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_5_Water_Content_Time_4_-_12_0_hours_Cross-Section_No_3_-_10_cm.txt,19.1,5,0.141223,0.1401598,0.1401598,0.1398562,0.1398562,0.1406064,0.1402765,0.1398836,0.1373928,0.1374158,0.1381932,0.1374158,0.1365395,0.1333302,0.132161,0.1298678,0.1298678,0.1274719,0.125468,0.1235763,0.1214251,0.1235763,0.1177514,0.1152396,0.1127034,0.1136865,0.1140016
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_5_Water_Content_Time_7_-_24_0_hours_Cross-Section_No_3_-_10_cm.txt,38.2,5,0.1529301,0.1521988,0.1521988,0.152128,0.152128,0.1527365,0.1526374,0.1525318,0.1513986,0.1519039,0.1520958,0.1519039,0.1517146,0.1511116,0.1500567,0.149702,0.149702,0.1503049,0.1501323,0.1499664,0.1481796,0.1499664,0.1486016,0.1495376,0.1481216,0.1495573,0.1495025
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_5_Water_Content_Time_22_-_96_0_hours_Cross-Section_No_3_-_10_cm.txt,152.79,5,0.185643,0.1860445,0.1860445,0.1860206,0.1860206,0.1856375,0.1856353,0.1856368,0.1860462,0.1856326,0.1856374,0.1856326,0.1856331,0.1856362,0.1861217,0.186097,0.186097,0.185636,0.1856375,0.1856375,0.18631,0.1856375,0.1860473,0.1856359,0.1861123,0.1856481,0.1856366
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_5_Water_Content_Time_159_-_420_0_hours_Cross-Section_No_3_-_10_cm.txt,1680.68,5,0.238343,0.2393672,0.2393672,0.2392955,0.2392955,0.2383162,0.2383047,0.2382983,0.2393118,0.238243,0.2382641,0.238243,0.2382302,0.2381919,0.2394466,0.2393534,0.2393534,0.2381378,0.2381298,0.23812,0.239863,0.23812,0.2391627,0.2380929,0.2393285,0.2381109,0.2380919
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_6_Water_Content_Time_2_-_1_0_hours_Cross-Section_No_3_-_10_cm.txt,19.1,6,0.2491189,0.2367647,0.2367647,0.2343706,0.2343706,0.2437452,0.240738,0.2371137,0.2111714,0.2145382,0.2219592,0.2145382,0.2060114,0.1706908,0.1461073,0.1101768,0.1101768,0.09032031,0.09019234,0.09018902,0.09018895,0.09018902,0.09018895,0.09018896,0.09018894,0.09018895,0.09018895
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_6_Water_Content_Time_5_-_12_0_hours_Cross-Section_No_3_-_10_cm.txt,38.2,6,0.1545377,0.1537807,0.1537807,0.1536779,0.1536779,0.1542806,0.1541552,0.1540177,0.152758,0.1531999,0.1534461,0.1531999,0.1529525,0.1521536,0.1510662,0.1505598,0.1505598,0.151056,0.150814,0.1505805,0.1486064,0.1505805,0.148965,0.1499704,0.1483447,0.149978,0.1499188
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_6_Water_Content_Time_14_-_48_0_hours_Cross-Section_No_3_-_10_cm.txt,152.79,6,0.1922818,0.192752,0.192752,0.1927239,0.1927239,0.1922749,0.1922722,0.1922741,0.192754,0.1922691,0.1922748,0.1922691,0.1922697,0.1922733,0.1928425,0.1928134,0.1928134,0.1922729,0.1922747,0.1922746,0.1930629,0.1922746,0.1927549,0.1922728,0.1928312,0.1922873,0.1922735
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_6_Water_Content_Time_81_-_273_0_hours_Cross-Section_No_3_-_10_cm.txt,1680.68,6,0.2758463,0.2733597,0.2733597,0.2725413,0.2725413,0.2739909,0.2730349,0.2719011,0.2673768,0.2664793,0.2679151,0.2664793,0.2651469,0.2612964,0.2615323,0.259837,0.259837,0.2572332,0.2565199,0.2559092,0.2570834,0.2559092,0.2557987,0.2544067,0.2553596,0.2542613,0.2542789
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_7_Water_Content_Time_5_-_6_000_hours_Cross-Section_No_3_-_10_cm.txt,19.1,7,0.1682615,0.1659155,0.1659155,0.1652772,0.1652772,0.1670389,0.16635,0.1655136,0.1607097,0.1609149,0.162378,0.1609149,0.1592383,0.1524304,0.1495005,0.1436057,0.1436057,0.137372,0.1318997,0.1247427,0.1183368,0.1247427,0.1042591,0.09202964,0.09176748,0.09034807,0.0906631
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_7_Water_Content_Time_10_-_12_000_hours_Cross-Section_No_3_-_10_cm.txt,38.2,7,0.1778995,0.1764574,0.1764574,0.1760997,0.1760997,0.1770315,0.1765793,0.1761255,0.1732161,0.1732659,0.1741589,0.1732659,0.1722795,0.1685552,0.1667388,0.1638883,0.1638883,0.1616735,0.1597245,0.1575261,0.1537156,0.1575261,0.1505222,0.149743,0.1447317,0.1487305,0.1487028
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_7_Water_Content_Time_37_-_48_000_hours_Cross-Section_No_3_-_10_cm.txt,152.79,7,0.2058125,0.2061707,0.2061707,0.2061334,0.2061334,0.2057743,0.2057563,0.2057427,0.2060679,0.2056474,0.2056808,0.2056474,0.2056228,0.2055484,0.2059996,0.2059359,0.2059359,0.205449,0.2054311,0.2054126,0.2060371,0.2054126,0.2057694,0.2053629,0.2058047,0.20538,0.2053599
c:/Users/QuinnHull/ownCloud-active jobs/BHP Chile/2150 - BHP Chile - MEL Permeability Testing Program for SHL Ores/Hydrus model/Sulphide AND SCC\Raw data\Sulphide_AND_SCC_Scheme_7_Water_Content_Time_326_-_384_000_hours_Cross-Section_No_3_-_10_cm.txt,1680.68,7,0.2373524,0.2382419,0.2382419,0.2381593,0.2381593,0.2372912,0.2372627,0.2372378,0.2380634,0.2370762,0.2371282,0.2370762,0.2370333,0.2368987,0.2380172,0.237879,0.237879,0.2367214,0.2366885,0.2366557,0.2382169,0.2366557,0.237555,0.2365693,0.2376762,0.2365837,0.2365635
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
